id,date,price,bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,grade,sqm_above,sqm_basement,yr_built,yr_renovated,zipcode,lat,long,sqm_living15,sqm_lot15
7129300520,2014-10-13,221900.0,3,1.0,12701.41976039525,60816.12003918065,1.0,0,0,3,7,12701.41976039525,0.0,1955,0,98178,47.5112,-122.257,14423.646168584437,60816.12003918065
6414100192,2014-12-09,538000.0,3,2.25,27663.26168153881,77952.27280066306,2.0,0,0,3,7,23357.69566106584,4305.566020472967,1951,1991,98125,47.721,-122.319,18191.016436498285,82225.54707598248
5631500400,2015-02-25,180000.0,2,1.0,8288.21458941046,107639.15051182416,1.0,0,0,3,6,8288.21458941046,0.0,1933,0,98028,47.7379,-122.233,29277.848939216172,86778.68314263264
2487200875,2014-12-09,604000.0,4,3.0,21097.273500317537,53819.57525591208,1.0,0,0,5,7,11302.110803741536,9795.162696575999,1965,0,98136,47.5208,-122.393,14638.924469608086,53819.57525591208
1954400510,2015-02-18,510000.0,3,2.0,18083.37728598646,86972.43361355392,1.0,0,0,3,8,18083.37728598646,0.0,1987,0,98074,47.6168,-122.045,19375.04709212835,80761.65462902166
7237550310,2014-05-12,1225000.0,4,4.5,58340.4195774087,1097165.8611670237,1.0,0,0,3,11,41871.6295490996,16468.790028309097,2001,0,98053,47.6561,-122.005,51236.2356436283,1097165.8611670237
1321400060,2014-06-27,257500.0,3,2.25,18460.114312777845,73399.13673401289,2.0,0,0,3,7,18460.114312777845,0.0,1995,0,98003,47.3097,-122.327,24089.641884546247,73399.13673401289
2008000270,2015-01-15,291850.0,3,1.5,11409.74995425336,104528.37906203244,1.0,0,0,3,7,11409.74995425336,0.0,1963,0,98198,47.4095,-122.315,17760.459834450987,104528.37906203244
2414600126,2015-04-15,229500.0,3,1.0,19159.7687911047,80406.44543233265,1.0,0,0,3,7,11302.110803741536,7857.657987363164,1960,0,98146,47.5123,-122.337,19159.7687911047,87327.64281024295
3793500160,2015-03-12,323000.0,3,2.5,20343.799446734767,70611.28273575666,2.0,0,0,3,7,20343.799446734767,0.0,2003,0,98038,47.3684,-122.031,25725.756972325973,81482.83693745089
1736800520,2015-04-03,662500.0,3,2.5,38319.5375822094,105443.31184138295,1.0,0,0,3,8,20020.881995199295,18298.655587010107,1965,0,98007,47.6007,-122.145,23788.25226311314,96067.94183180307
9212900260,2014-05-27,468000.0,2,1.0,12486.141459371604,64583.4903070945,1.0,0,0,4,7,9256.966944016878,3229.174515354725,1942,0,98115,47.69,-122.292,14316.007018072614,64583.4903070945
114101516,2014-05-28,310000.0,3,1.0,15392.398523190855,214212.67343358125,1.5,0,0,4,7,15392.398523190855,0.0,1927,0,98028,47.7558,-122.229,19159.7687911047,136669.42940486313
6054650070,2014-10-07,400000.0,3,1.75,14746.56362011991,104194.6976954458,1.0,0,0,4,7,14746.56362011991,0.0,1977,0,98074,47.6127,-122.045,14746.56362011991,109878.0448424701
1175000570,2015-03-12,530000.0,5,2.0,19482.686242640175,52204.98799823472,1.5,0,0,3,7,19482.686242640175,0.0,1900,0,98107,47.67,-122.394,14638.924469608086,52204.98799823472
9297300055,2015-01-24,650000.0,4,3.0,31753.549400988126,53819.57525591208,2.0,0,3,3,9,21312.551801341186,10440.997599646944,1979,0,98126,47.5714,-122.375,23034.77820953037,43055.66020472966
1875500060,2014-07-31,395000.0,3,2.0,20343.799446734767,151125.36731860111,2.0,0,0,3,7,20343.799446734767,0.0,1994,0,98019,47.7277,-121.962,20343.799446734767,150888.5611874751
6865200140,2014-05-29,485000.0,4,1.0,17222.264081891866,46284.83472008439,1.5,0,0,4,7,17222.264081891866,0.0,1916,0,98103,47.6648,-122.343,17329.90323240369,46284.83472008439
16000397,2014-12-05,189000.0,2,1.0,12916.6980614189,106024.5632541468,1.0,0,0,4,7,12916.6980614189,0.0,1921,0,98002,47.3089,-122.21,11409.74995425336,54842.14718577441
7983200060,2015-04-24,230000.0,3,1.0,13454.89381397802,105206.50571025694,1.0,0,0,4,7,13454.89381397802,0.0,1969,0,98003,47.3343,-122.306,13777.811265513492,95260.64820296438
6300500875,2014-05-14,385000.0,4,1.75,17437.542382915515,53604.296954888436,1.0,0,0,4,7,9256.966944016878,8180.575438898636,1947,0,98133,47.7025,-122.341,15069.481071655382,53604.296954888436
2524049179,2014-08-26,2000000.0,3,2.75,32829.94090610637,482944.57660140144,1.0,0,4,3,9,25079.92206925503,7750.01883685134,1968,0,98040,47.5316,-122.233,44239.69086035973,218894.97648084562
7137970340,2014-07-03,285000.0,5,2.5,24434.087166184083,67812.66482244922,2.0,0,0,3,8,24434.087166184083,0.0,1995,0,98092,47.3266,-122.169,24111.16971464861,75401.22493353282
8091400200,2014-05-16,252700.0,2,1.5,11517.389104765185,103796.43283855203,1.0,0,0,3,7,11517.389104765185,0.0,1985,0,98030,47.3533,-122.166,13131.976362442547,90266.19161921574
3814700200,2014-11-20,329000.0,3,2.25,26371.59187539692,69965.4478326857,2.0,0,0,4,8,26371.59187539692,0.0,1985,0,98030,47.3739,-122.172,23680.613112601317,73894.27682636729
1202000200,2014-11-03,233000.0,3,2.0,18406.29473752193,50558.10899540381,1.5,0,0,5,6,18406.29473752193,0.0,1941,0,98002,47.3048,-122.218,11086.832502717889,50644.22031581327
1794500383,2014-06-26,937000.0,3,1.75,26371.59187539692,28965.695402731882,2.0,0,0,3,8,18836.851339569228,7534.740535827691,1915,0,98119,47.6386,-122.36,18944.49049008105,38459.468477874776
3303700376,2014-12-01,667000.0,3,1.0,15069.481071655382,17017.7496959194,1.5,0,0,5,8,15069.481071655382,0.0,1909,0,98112,47.6221,-122.314,20020.881995199295,41559.476012615305
5101402488,2014-06-24,438000.0,3,1.75,16361.150877797272,68673.77802654382,1.0,0,0,3,7,8503.492890434109,7857.657987363164,1948,0,98115,47.695,-122.304,16361.150877797272,67113.01034412236
1873100390,2015-03-02,719000.0,4,2.5,27663.26168153881,77209.56266213147,2.0,0,0,3,8,27663.26168153881,0.0,2005,0,98052,47.7073,-122.11,28309.096584609753,64863.35209842524
8562750320,2014-11-10,580500.0,3,2.5,24972.282918743207,42840.38190370602,2.0,0,0,3,8,24972.282918743207,0.0,2003,0,98027,47.5391,-122.07,27770.900832050633,42840.38190370602
2426039314,2014-12-01,280000.0,2,1.5,12809.058910907075,13616.352539745756,3.0,0,0,3,7,12809.058910907075,0.0,2005,0,98133,47.7274,-122.357,14961.841921143558,18901.43482987632
461000390,2014-06-24,687500.0,4,1.75,25079.92206925503,53819.57525591208,1.5,0,0,4,7,16253.511727285448,8826.410341969582,1929,0,98117,47.6823,-122.368,15715.315974726327,53819.57525591208
7589200193,2014-11-10,535000.0,3,1.0,11732.667405788834,32291.74515354725,1.5,0,0,4,8,11732.667405788834,0.0,1929,0,98117,47.6889,-122.375,16899.346630356395,54680.68846000668
7955080270,2014-12-03,322500.0,4,2.75,22173.665005435778,71676.91032582372,1.0,0,0,3,7,13777.811265513492,8395.853739922284,1981,0,98058,47.4276,-122.157,21743.10840338848,93861.33924631067
9547205180,2014-06-13,696000.0,3,2.5,24757.004617719558,32937.58005661819,1.5,0,0,3,8,16253.511727285448,8503.492890434109,1930,2002,98115,47.6827,-122.31,17114.62493138004,35133.418727059405
9435300030,2014-05-28,550000.0,4,1.0,17868.09898496281,375100.91170360486,1.0,0,0,1,5,10010.440997599648,7857.657987363164,1933,0,98052,47.6621,-122.132,23250.05651055402,123429.81389190877
2768000400,2014-12-30,640000.0,4,2.0,25402.8395207905,64583.4903070945,2.0,0,0,4,8,25402.8395207905,0.0,1904,0,98107,47.6702,-122.362,18621.57303854558,50590.40074055736
7895500070,2015-02-13,240000.0,4,1.0,13131.976362442547,86918.61403829801,1.0,0,0,2,7,9579.88439555235,3552.0919668901975,1969,0,98001,47.3341,-122.282,13885.450416025316,83958.53739922284
2078500320,2014-06-20,605000.0,4,2.5,28201.45743409793,81299.85038158079,2.0,0,0,3,8,28201.45743409793,0.0,1996,0,98056,47.5301,-122.18,28201.45743409793,127918.36646825183
5547700270,2014-07-15,625000.0,4,2.5,27663.26168153881,59416.81108252694,2.0,0,0,3,9,27663.26168153881,0.0,2000,0,98074,47.6145,-122.027,26586.87017642057,61020.63442515312
7766200013,2014-08-11,775000.0,4,2.25,45423.7215159898,260336.0494278979,1.0,0,0,3,8,27986.17913307428,17437.542382915515,1984,0,98166,47.445,-122.347,25941.035273349622,329558.78712205205
7203220400,2014-07-07,861990.0,5,2.75,38696.274609000786,60697.716973617644,2.0,0,0,3,9,38696.274609000786,0.0,2014,0,98053,47.6848,-122.016,39019.19206053626,60697.716973617644
9270200160,2014-10-28,685000.0,3,1.0,16899.346630356395,24541.72631669591,2.0,0,0,3,7,16899.346630356395,0.0,1922,0,98119,47.6413,-122.364,17006.985780868217,28416.73573512158
1432701230,2014-07-29,309000.0,3,1.0,13777.811265513492,103936.3637342174,1.0,0,0,4,6,9902.801847087823,3875.00941842567,1959,0,98058,47.4485,-122.175,14423.646168584437,94808.56377081473
8035350320,2014-07-18,488000.0,3,2.5,34013.971561736435,146421.5364412344,2.0,0,0,3,8,34013.971561736435,0.0,2003,0,98019,47.7443,-121.977,32829.94090610637,99372.46375251607
